ISBN	douban_id	5star	4star	3star	2star	1star	short_comment	long_comment	note	reading	collectiongs	wishes	url_pic	title	score	users
9787208137820	26803255	5	0	0	2	10	48	https://img1.doubanio.com/lpic/s28774987.jpg						安提戈涅的故事	7.8	10
9787544225151	1059503	64.5%	28.3%	6.2%	0.7%	0.3%	696	68	0.0	105.0	4133.0	1717.0	https://img3.doubanio.com/lpic/s1112624.jpg	爱心树	9.1	3004
9787530478097	26599658	8.3%	25.0%	50.0%	8.3%	8.3%	16	0	0.0	0.0	28.0	4.0	https://img3.doubanio.com/lpic/s28283420.jpg	要幸福地活着	7.8	24
9787508047577	3134580	47.1%	41.2%	11.8%	0.0%	0.0%	1	0	0.0	6.0	15.0	41.0	https://img1.doubanio.com/lpic/s3258987.jpg	孤独症儿童行为管理策略及行为治疗课程	8.4	17
9787505609976	3930944	50.0%	30.0%	18.0%	2.0%	0.0%	23	2	0.0	6.0	129.0	148.0	https://img3.doubanio.com/lpic/s3954570.jpg	小岛	8.6	100
9787533264123	5363765	45.5%	32.7%	18.2%	3.6%	0.0%	20	1	0.0	1.0	69.0	41.0	https://img1.doubanio.com/lpic/s4662128.jpg	进城	8.6	55
9787534663048	10831574	76.5%	23.5%	0.0%	0.0%	0.0%	3	6	0.0	1.0	21.0	50.0	https://img3.doubanio.com/lpic/s10425472.jpg	猫出租车司机	8.3	17
9789620431746	10461698	43.8%	42.2%	13.3%	0.8%	0.0%	42	2	0.0	39.0	164.0	2545.0	https://img1.doubanio.com/lpic/s7056447.jpg	東京肉肉	8.5	128
9787229105037	26792167	80.8%	19.2%	0.0%	0.0%	0.0%	9	16	0.0	1.0	21.0	45.0	https://img3.doubanio.com/lpic/s28716094.jpg	我是Blop!	8.4	26
9787550270336	26738922	74.1%	11.1%	14.8%	0.0%	0.0%	15	3	0.0	3.0	33.0	351.0	https://img3.doubanio.com/lpic/s28480513.jpg	弗朗西斯森林奇遇记	8.8	27
9787508613550	3312065	16.5%	54.4%	27.1%	1.7%	0.3%	183	12	0.0	34.0	779.0	846.0	https://img3.doubanio.com/lpic/s3377802.jpg	越往南越南	7.7	632
9787544824286	10555475	1	1	0	0	7	5	https://img1.doubanio.com/lpic/s8968718.jpg						查菲查菲你在哪儿	7.8	10
9787531816720	1905830	48.8%	36.8%	13.8%	0.5%	0.1%	735	24	0.0	121.0	6666.0	1355.0	https://img3.doubanio.com/lpic/s1884980.jpg	风色四叶草	8.7	5215
9787544242783	3625122	41.6%	48.1%	9.1%	1.3%	0.0%	22	1	0.0	3.0	104.0	47.0	https://img1.doubanio.com/lpic/s6767639.jpg	999个青蛙兄弟大搬家	8.7	77
9787532426843	1441174	38.9%	45.8%	14.3%	0.9%	0.2%	77	26	0.0	5.0	648.0	73.0	https://img1.doubanio.com/lpic/s1458677.jpg	男生贾里	8.4	463
9787532260423	3664840	57.9%	28.9%	10.5%	0.0%	2.6%	7	1	0.0	1.0	55.0	33.0	https://img1.doubanio.com/lpic/s3743797.jpg	赛娜的身世	8.6	38
9787532934430	6904611	41.3%	43.5%	13.0%	2.2%	0.0%	11	2	0.0	4.0	59.0	54.0	https://img3.doubanio.com/lpic/s7649560.jpg	100万只猫（婉达·盖格经典绘本5种）	8.5	46
